TIME,DEPTH
0,-10.3326
0.01,-10.3326
0.02,-10.3326
0.03,-10.3326
0.04,-10.3326
0.05,-10.3326
0.06,-10.3326
0.07,-10.3326
0.08,-10.3326
0.09,-10.3326
0.1,15.0959
0.11,15.0959
0.12,15.0959
0.13,15.0959
0.14,15.0959
0.15,15.0959
0.16,15.0959
0.17,15.0959
0.18,15.0959
0.19,15.0959
0.2,15.0947
0.21,15.0947
0.22,15.0947
0.23,15.0947
0.24,15.0947
0.25,15.0947
0.26,15.0947
0.27,15.0947
0.28,15.0947
0.29,15.0947
0.3,15.0935
0.31,15.0935
0.32,15.0935
0.33,15.0935
0.34,15.0935
0.35,15.0935
0.36,15.0935
0.37,15.0935
0.38,15.0935
0.39,15.0935
0.4,15.0924
0.41,15.0924
0.42,15.0924
0.43,15.0924
0.44,15.0924
0.45,15.0924
0.46,15.0924
0.47,15.0924
0.48,15.0924
0.49,15.0924
0.5,15.0917
0.51,15.0917
0.52,15.0917
0.53,15.0917
0.54,15.0917
0.55,15.0917
0.56,15.0917
0.57,15.0917
0.58,15.0917
0.59,15.0917
0.6,15.0915
0.61,15.0915
0.62,15.0915
0.63,15.0915
0.64,15.0915
0.65,15.0915
0.66,15.0915
0.67,15.0915
0.68,15.0915
0.69,15.0915
0.7,15.0918
0.71,15.0918
0.72,15.0918
0.73,15.0918
0.74,15.0918
0.75,15.0918
0.76,15.0918
0.77,15.0918
0.78,15.0918
0.79,15.0918
0.8,15.0925
0.81,15.0925
0.82,15.0925
0.83,15.0925
0.839999,15.0925
0.849999,15.0925
0.859999,15.0925
0.869999,15.0925
0.879999,15.0925
0.889999,15.0925
0.899999,15.0936
0.909999,15.0936
0.919999,15.0936
0.929999,15.0936
0.939999,15.0936
0.949999,15.0936
0.959999,15.0936
0.969999,15.0936
0.979999,15.0936
0.989999,15.0936
0.999999,15.0952
1.01,15.0952
1.02,15.0952
1.03,15.0952
1.04,15.0952
1.05,15.0952
1.06,15.0952
1.07,15.0952
1.08,15.0952
1.09,15.0952
1.1,15.0971
1.11,15.0971
1.12,15.0971
1.13,15.0971
1.14,15.0971
1.15,15.0971
1.16,15.0971
1.17,15.0971
1.18,15.0971
1.19,15.0971
1.2,15.0993
1.21,15.0993
1.22,15.0993
1.23,15.0993
1.24,15.0993
1.25,15.0993
1.26,15.0993
1.27,15.0993
1.28,15.0993
1.29,15.0993
1.3,15.1018
1.31,15.1018
1.32,15.1018
1.33,15.1018
1.34,15.1018
1.35,15.1018
1.36,15.1018
